dataset,condition,seed,corruption,severity,clean_bacc,corrupted_bacc,corrupted_error,BE,rBE,rBE_valid,alexnet_error,rBE_denominator
pneumonia,pretrained,0,contrast_up,1,0.9098290598290598,0.9183760683760684,0.08162393162393156,0.7219730941704036,,False,0.09529914529914527,-0.005555555555555564
pneumonia,pretrained,0,contrast_up,2,0.9098290598290598,0.9247863247863248,0.07521367521367517,0.7219730941704036,,False,0.09529914529914527,-0.005555555555555564
pneumonia,pretrained,0,contrast_up,3,0.9098290598290598,0.9354700854700855,0.06452991452991452,0.7219730941704036,,False,0.09529914529914527,-0.005555555555555564
pneumonia,pretrained,0,contrast_up,4,0.9098290598290598,0.9397435897435897,0.060256410256410264,0.7219730941704036,,False,0.09529914529914527,-0.005555555555555564
pneumonia,pretrained,0,contrast_up,5,0.9098290598290598,0.9376068376068376,0.062393162393162394,0.7219730941704036,,False,0.09529914529914527,-0.005555555555555564
pneumonia,pretrained,1,contrast_up,1,0.8713675213675214,0.882051282051282,0.11794871794871797,1.0000000000000002,,False,0.09529914529914527,-0.005555555555555564
pneumonia,pretrained,1,contrast_up,2,0.8713675213675214,0.8927350427350427,0.10726495726495733,1.0000000000000002,,False,0.09529914529914527,-0.005555555555555564
pneumonia,pretrained,1,contrast_up,3,0.8713675213675214,0.9076923076923077,0.09230769230769231,1.0000000000000002,,False,0.09529914529914527,-0.005555555555555564
pneumonia,pretrained,1,contrast_up,4,0.8713675213675214,0.9141025641025642,0.08589743589743581,1.0000000000000002,,False,0.09529914529914527,-0.005555555555555564
pneumonia,pretrained,1,contrast_up,5,0.8713675213675214,0.926923076923077,0.07307692307692304,1.0000000000000002,,False,0.09529914529914527,-0.005555555555555564
pneumonia,pretrained,2,contrast_up,1,0.8833333333333333,0.8897435897435897,0.11025641025641031,1.1300448430493282,,False,0.09529914529914527,-0.005555555555555564
pneumonia,pretrained,2,contrast_up,2,0.8833333333333333,0.8897435897435897,0.11025641025641031,1.1300448430493282,,False,0.09529914529914527,-0.005555555555555564
pneumonia,pretrained,2,contrast_up,3,0.8833333333333333,0.8905982905982905,0.10940170940170946,1.1300448430493282,,False,0.09529914529914527,-0.005555555555555564
pneumonia,pretrained,2,contrast_up,4,0.8833333333333333,0.8935897435897435,0.10641025641025648,1.1300448430493282,,False,0.09529914529914527,-0.005555555555555564
pneumonia,pretrained,2,contrast_up,5,0.8833333333333333,0.8978632478632479,0.10213675213675211,1.1300448430493282,,False,0.09529914529914527,-0.005555555555555564
pneumonia,pretrained,3,contrast_up,1,0.9055555555555556,0.9098290598290598,0.09017094017094018,0.8116591928251121,,False,0.09529914529914527,-0.005555555555555564
pneumonia,pretrained,3,contrast_up,2,0.9055555555555556,0.9162393162393163,0.08376068376068369,0.8116591928251121,,False,0.09529914529914527,-0.005555555555555564
pneumonia,pretrained,3,contrast_up,3,0.9055555555555556,0.9277777777777778,0.07222222222222219,0.8116591928251121,,False,0.09529914529914527,-0.005555555555555564
pneumonia,pretrained,3,contrast_up,4,0.9055555555555556,0.9260683760683761,0.07393162393162389,0.8116591928251121,,False,0.09529914529914527,-0.005555555555555564
pneumonia,pretrained,3,contrast_up,5,0.9055555555555556,0.9333333333333333,0.06666666666666665,0.8116591928251121,,False,0.09529914529914527,-0.005555555555555564
pneumonia,pretrained,4,contrast_up,1,0.8747863247863248,0.8854700854700854,0.11452991452991457,1.0896860986547092,,False,0.09529914529914527,-0.005555555555555564
pneumonia,pretrained,4,contrast_up,2,0.8747863247863248,0.8918803418803418,0.10811965811965818,1.0896860986547092,,False,0.09529914529914527,-0.005555555555555564
pneumonia,pretrained,4,contrast_up,3,0.8747863247863248,0.8961538461538461,0.10384615384615392,1.0896860986547092,,False,0.09529914529914527,-0.005555555555555564
pneumonia,pretrained,4,contrast_up,4,0.8747863247863248,0.894017094017094,0.10598290598290605,1.0896860986547092,,False,0.09529914529914527,-0.005555555555555564
pneumonia,pretrained,4,contrast_up,5,0.8747863247863248,0.9132478632478633,0.08675213675213667,1.0896860986547092,,False,0.09529914529914527,-0.005555555555555564
pneumonia,scratch,0,contrast_up,1,0.808974358974359,0.8175213675213675,0.1824786324786325,1.7659192825112113,,False,0.09529914529914527,-0.005555555555555564
pneumonia,scratch,0,contrast_up,2,0.808974358974359,0.8324786324786325,0.16752136752136748,1.7659192825112113,,False,0.09529914529914527,-0.005555555555555564
pneumonia,scratch,0,contrast_up,3,0.808974358974359,0.8376068376068376,0.16239316239316237,1.7659192825112113,,False,0.09529914529914527,-0.005555555555555564
pneumonia,scratch,0,contrast_up,4,0.808974358974359,0.8311965811965812,0.16880341880341876,1.7659192825112113,,False,0.09529914529914527,-0.005555555555555564
