dataset,family,severity,n_seeds,mean_gap,sd_gap,ci_low,ci_high,monotonic_metric
pneumonia,color,4,5,0.10935897435897435,0.03542742488854482,0.08089743589743592,0.1351566951566951,pretrained_minus_scratch_bacc
pneumonia,color,5,5,0.09972934472934473,0.023604283044963245,0.08138176638176635,0.11790598290598293,pretrained_minus_scratch_bacc
pneumonia,digital,1,5,0.019358974358974358,0.03385069953503006,-0.007094017094017091,0.0458119658119658,pretrained_minus_scratch_bacc
pneumonia,digital,2,5,-0.04713675213675215,0.04531819064236101,-0.08418803418803422,-0.013632478632478651,pretrained_minus_scratch_bacc
pneumonia,digital,3,5,-0.1258119658119658,0.043102956876747325,-0.15901709401709402,-0.09260683760683759,pretrained_minus_scratch_bacc
pneumonia,digital,4,5,-0.14085470085470086,0.04347789193880576,-0.17619658119658124,-0.10829059829059831,pretrained_minus_scratch_bacc
pneumonia,digital,5,5,-0.24008547008547015,0.033543129505168585,-0.264957264957265,-0.2120085470085471,pretrained_minus_scratch_bacc
pneumonia,noise,1,5,-0.13995726495726496,0.06426284271514564,-0.1900854700854701,-0.08982905982905982,pretrained_minus_scratch_bacc
pneumonia,noise,2,5,-0.18149572649572648,0.05649524766402978,-0.22378205128205128,-0.13677350427350424,pretrained_minus_scratch_bacc
pneumonia,noise,3,5,-0.22279914529914527,0.04937970159023026,-0.2628205128205128,-0.18051282051282044,pretrained_minus_scratch_bacc
pneumonia,noise,4,5,-0.2569017094017094,0.04455529148368837,-0.2916025641025641,-0.2222008547008547,pretrained_minus_scratch_bacc
pneumonia,noise,5,5,-0.2493162393162393,0.04937080139134982,-0.28677350427350434,-0.21185897435897436,pretrained_minus_scratch_bacc
