dataset,condition,seed,corruption,severity,clean_bacc,corrupted_bacc,corrupted_error,BE,rBE,rBE_valid,rBE_small_denominator,alexnet_error,rBE_denominator
derma,scratch,3,pixelate,1,0.5595158868406569,0.5596890197465714,0.44031098025342863,0.8580887604037791,-0.021616691903651133,True,False,0.5105118313063095,0.11193427158204838
derma,scratch,3,pixelate,2,0.5595158868406569,0.559238012589239,0.440761987410761,0.8580887604037791,-0.021616691903651133,True,False,0.5105118313063095,0.11193427158204838
derma,scratch,3,pixelate,3,0.5595158868406569,0.568414428593873,0.43158557140612697,0.8580887604037791,-0.021616691903651133,True,False,0.5105118313063095,0.11193427158204838
derma,scratch,3,pixelate,4,0.5595158868406569,0.5651205005245474,0.43487949947545257,0.8580887604037791,-0.021616691903651133,True,False,0.5105118313063095,0.11193427158204838
derma,scratch,3,pixelate,5,0.5595158868406569,0.5572157160602976,0.44278428393970237,0.8580887604037791,-0.021616691903651133,True,False,0.5105118313063095,0.11193427158204838
derma,scratch,4,pixelate,1,0.5462305203322988,0.5394677034198639,0.46053229658013606,0.9204932803444585,0.14430996296125503,True,False,0.5105118313063095,0.11193427158204838
derma,scratch,4,pixelate,2,0.5462305203322988,0.5385562472912692,0.46144375270873084,0.9204932803444585,0.14430996296125503,True,False,0.5105118313063095,0.11193427158204838
derma,scratch,4,pixelate,3,0.5462305203322988,0.5375490646658453,0.4624509353341547,0.9204932803444585,0.14430996296125503,True,False,0.5105118313063095,0.11193427158204838
derma,scratch,4,pixelate,4,0.5462305203322988,0.5208947522583343,0.47910524774166574,0.9204932803444585,0.14430996296125503,True,False,0.5105118313063095,0.11193427158204838
derma,scratch,4,pixelate,5,0.5462305203322988,0.5139186810956791,0.48608131890432094,0.9204932803444585,0.14430996296125503,True,False,0.5105118313063095,0.11193427158204838
derma,pretrained,0,jpeg_compression,1,0.7104744268353997,0.43394971723239584,0.5660502827676042,1.426985039546346,4.980299224701947,True,False,0.47716296678659287,0.07858540706233175
derma,pretrained,0,jpeg_compression,2,0.7104744268353997,0.36392312002624,0.63607687997376,1.426985039546346,4.980299224701947,True,False,0.47716296678659287,0.07858540706233175
derma,pretrained,0,jpeg_compression,3,0.7104744268353997,0.2899153661529677,0.7100846338470324,1.426985039546346,4.980299224701947,True,False,0.47716296678659287,0.07858540706233175
derma,pretrained,0,jpeg_compression,4,0.7104744268353997,0.26944616739995136,0.7305538326000487,1.426985039546346,4.980299224701947,True,False,0.47716296678659287,0.07858540706233175
derma,pretrained,0,jpeg_compression,5,0.7104744268353997,0.23824355403835523,0.7617564459616448,1.426985039546346,4.980299224701947,True,False,0.47716296678659287,0.07858540706233175
derma,pretrained,1,jpeg_compression,1,0.7440463834561305,0.4567861209280068,0.5432138790719931,1.3836750971290013,5.1445289015333895,True,False,0.47716296678659287,0.07858540706233175
derma,pretrained,1,jpeg_compression,2,0.7440463834561305,0.3472250904382476,0.6527749095617523,1.3836750971290013,5.1445289015333895,True,False,0.47716296678659287,0.07858540706233175
derma,pretrained,1,jpeg_compression,3,0.7440463834561305,0.3214475375969049,0.6785524624030951,1.3836750971290013,5.1445289015333895,True,False,0.47716296678659287,0.07858540706233175
derma,pretrained,1,jpeg_compression,4,0.7440463834561305,0.2933526878985681,0.7066473121014318,1.3836750971290013,5.1445289015333895,True,False,0.47716296678659287,0.07858540706233175
derma,pretrained,1,jpeg_compression,5,0.7440463834561305,0.27999599106426537,0.7200040089357347,1.3836750971290013,5.1445289015333895,True,False,0.47716296678659287,0.07858540706233175
derma,pretrained,2,jpeg_compression,1,0.684106628040369,0.4930123524673748,0.5069876475326252,1.473961290983456,4.930003992564876,True,False,0.47716296678659287,0.07858540706233175
derma,pretrained,2,jpeg_compression,2,0.684106628040369,0.3690497175742022,0.6309502824257978,1.473961290983456,4.930003992564876,True,False,0.47716296678659287,0.07858540706233175
derma,pretrained,2,jpeg_compression,3,0.684106628040369,0.28207096102721885,0.7179290389727812,1.473961290983456,4.930003992564876,True,False,0.47716296678659287,0.07858540706233175
derma,pretrained,2,jpeg_compression,4,0.684106628040369,0.18068653072565555,0.8193134692743445,1.473961290983456,4.930003992564876,True,False,0.47716296678659287,0.07858540706233175
derma,pretrained,2,jpeg_compression,5,0.684106628040369,0.15858172553423608,0.8414182744657639,1.473961290983456,4.930003992564876,True,False,0.47716296678659287,0.07858540706233175
derma,pretrained,3,jpeg_compression,1,0.759823002459764,0.42941386805084075,0.5705861319491592,1.456374733641907,5.786711656995993,True,False,0.47716296678659287,0.07858540706233175
derma,pretrained,3,jpeg_compression,2,0.759823002459764,0.325248381662166,0.6747516183378339,1.456374733641907,5.786711656995993,True,False,0.47716296678659287,0.07858540706233175
derma,pretrained,3,jpeg_compression,3,0.759823002459764,0.29328228867646416,0.7067177113235359,1.456374733641907,5.786711656995993,True,False,0.47716296678659287,0.07858540706233175
derma,pretrained,3,jpeg_compression,4,0.759823002459764,0.2569345903699571,0.7430654096300429,1.456374733641907,5.786711656995993,True,False,0.47716296678659287,0.07858540706233175
derma,pretrained,3,jpeg_compression,5,0.759823002459764,0.22048042795253986,0.7795195720474601,1.456374733641907,5.786711656995993,True,False,0.47716296678659287,0.07858540706233175
derma,pretrained,4,jpeg_compression,1,0.7342786555676982,0.3981915004129144,0.6018084995870856,1.5036362405576635,5.748626901196936,True,False,0.47716296678659287,0.07858540706233175
derma,pretrained,4,jpeg_compression,2,0.7342786555676982,0.30955227936017743,0.6904477206398225,1.5036362405576635,5.748626901196936,True,False,0.47716296678659287,0.07858540706233175
derma,pretrained,4,jpeg_compression,3,0.7342786555676982,0.2715631045614565,0.7284368954385435,1.5036362405576635,5.748626901196936,True,False,0.47716296678659287,0.07858540706233175
derma,pretrained,4,jpeg_compression,4,0.7342786555676982,0.22631192436549114,0.7736880756345088,1.5036362405576635,5.748626901196936,True,False,0.47716296678659287,0.07858540706233175
derma,pretrained,4,jpeg_compression,5,0.7342786555676982,0.2069835437382914,0.7930164562617086,1.5036362405576635,5.748626901196936,True,False,0.47716296678659287,0.07858540706233175
derma,scratch,0,jpeg_compression,1,0.5642540763608883,0.5358271239649027,0.46417287603509727,1.0119550166931968,0.5996219418118521,True,False,0.47716296678659287,0.07858540706233175
derma,scratch,0,jpeg_compression,2,0.5642540763608883,0.5156986933702192,0.48430130662978077,1.0119550166931968,0.5996219418118521,True,False,0.47716296678659287,0.07858540706233175
derma,scratch,0,jpeg_compression,3,0.5642540763608883,0.529317287167696,0.470682712832304,1.0119550166931968,0.5996219418118521,True,False,0.47716296678659287,0.07858540706233175
derma,scratch,0,jpeg_compression,4,0.5642540763608883,0.5096676241528451,0.49033237584715494,1.0119550166931968,0.5996219418118521,True,False,0.47716296678659287,0.07858540706233175
derma,scratch,0,jpeg_compression,5,0.5642540763608883,0.4951519812448278,0.5048480187551723,1.0119550166931968,0.5996219418118521,True,False,0.47716296678659287,0.07858540706233175
derma,scratch,1,jpeg_compression,1,0.5453605518324164,0.527985972145668,0.472014027854332,1.0348468469724823,0.49819864739650416,True,False,0.47716296678659287,0.07858540706233175
derma,scratch,1,jpeg_compression,2,0.5453605518324164,0.5169445155917838,0.4830554844082162,1.0348468469724823,0.49819864739650416,True,False,0.47716296678659287,0.07858540706233175
derma,scratch,1,jpeg_compression,3,0.5453605518324164,0.5169661792667092,0.4830338207332908,1.0348468469724823,0.49819864739650416,True,False,0.47716296678659287,0.07858540706233175
