dataset,condition,seed,corruption,severity,clean_bacc,corrupted_bacc,corrupted_error,BE,rBE,rBE_valid,rBE_small_denominator,alexnet_error,rBE_denominator
blood,scratch,3,brightness_down,3,0.9881007357017896,0.1739454202811999,0.8260545797188001,8.165301653002196,10.442592937539457,True,False,0.0790077546902872,0.06063847259602051
blood,scratch,3,brightness_down,4,0.9881007357017896,0.12540064102564102,0.874599358974359,8.165301653002196,10.442592937539457,True,False,0.0790077546902872,0.06063847259602051
blood,scratch,3,brightness_down,5,0.9881007357017896,0.125,0.875,8.165301653002196,10.442592937539457,True,False,0.0790077546902872,0.06063847259602051
blood,scratch,4,brightness_down,1,0.988147309202292,0.9264831907351231,0.07351680926487691,8.180663861603312,10.463376889628037,True,False,0.0790077546902872,0.06063847259602051
blood,scratch,4,brightness_down,2,0.988147309202292,0.41792486386892697,0.582075136131073,8.180663861603312,10.463376889628037,True,False,0.0790077546902872,0.06063847259602051
blood,scratch,4,brightness_down,3,0.988147309202292,0.1739125274896896,0.8260874725103104,8.180663861603312,10.463376889628037,True,False,0.0790077546902872,0.06063847259602051
blood,scratch,4,brightness_down,4,0.988147309202292,0.125,0.875,8.180663861603312,10.463376889628037,True,False,0.0790077546902872,0.06063847259602051
blood,scratch,4,brightness_down,5,0.988147309202292,0.125,0.875,8.180663861603312,10.463376889628037,True,False,0.0790077546902872,0.06063847259602051
blood,pretrained,0,contrast_up,1,0.9899915047646126,0.9900480136210785,0.009951986378921474,0.391062125627802,0.3074445480522419,True,True,0.05215362284240639,0.0337843407481397
blood,pretrained,0,contrast_up,2,0.9899915047646126,0.9872080029178263,0.012791997082173712,0.391062125627802,0.3074445480522419,True,True,0.05215362284240639,0.0337843407481397
blood,pretrained,0,contrast_up,3,0.9899915047646126,0.9836293375419165,0.016370662458083496,0.391062125627802,0.3074445480522419,True,True,0.05215362284240639,0.0337843407481397
blood,pretrained,0,contrast_up,4,0.9899915047646126,0.9774781428748032,0.02252185712519683,0.391062125627802,0.3074445480522419,True,True,0.05215362284240639,0.0337843407481397
blood,pretrained,0,contrast_up,5,0.9899915047646126,0.9596599700046649,0.04034002999533515,0.391062125627802,0.3074445480522419,True,True,0.05215362284240639,0.0337843407481397
blood,pretrained,1,contrast_up,1,0.9867345502282888,0.9847007206809195,0.015299279319080483,0.879682725075898,0.9653345476239102,True,True,0.05215362284240639,0.0337843407481397
