dataset,condition_pre,corruption,family,corrupted_bacc_mean_pre,corrupted_bacc_sd_pre,BE_mean_pre,BE_sd_pre,condition_scratch,corrupted_bacc_mean_scratch,corrupted_bacc_sd_scratch,BE_mean_scratch,BE_sd_scratch,delta_bacc,delta_BE
derma,pretrained,brightness_up,color,0.6502584387328892,0.04144504850846936,0.7817217956000856,0.09263553814248975,scratch,0.46197911857657414,0.040449423244652505,1.2025526733880116,0.0904101750310657,0.1882793201563151,0.42083087778792605
derma,pretrained,characters,task_specific,0.7117551005926818,0.02270581035853667,0.6460112975543891,0.05088801238773885,scratch,0.5387851342878331,0.010958157478859316,1.033669683185123,0.024559301990352934,0.17296996630484862,0.38765838563073396
derma,pretrained,contrast_down,color,0.5315731531964032,0.0156458474583936,0.86774468563911,0.028983396397930367,scratch,0.33520129508845653,0.014417551389423994,1.2315168251845063,0.026708020010960173,0.19637185810794666,0.36377213954539633
derma,pretrained,contrast_up,color,0.6606281817376936,0.035285290376172125,0.7884751121307471,0.08197962172691224,scratch,0.5180451379339603,0.015191997783237692,1.119743577575918,0.03529613100157304,0.1425830438037332,0.33126846544517086
derma,pretrained,defocus_blur,blur,0.20871689343451932,0.02144000633925295,1.129062713472734,0.030592226136785576,scratch,0.4686967157684541,0.007429749720693504,0.7581037972302564,0.010601330055534743,-0.2599798223339348,-0.37095891624247757
derma,pretrained,gaussian_noise,noise,0.2342425002613119,0.015022459369698173,0.9942818520858655,0.019505599005018182,scratch,0.3246794877446333,0.010696349727550175,0.8768558321739901,0.013888452181396798,-0.09043698748332138,-0.1174260199118754
derma,pretrained,impulse_noise,noise,0.202635655569075,0.02149871820830066,0.9972598739359982,0.026888346788941146,scratch,0.3019144969050721,0.013218814735077014,0.873092289209208,0.016532710057024922,-0.0992788413359971,-0.12416758472679024
derma,pretrained,jpeg_compression,digital,0.30862594197019555,0.021885278465519332,1.4489264803716746,0.045865417035407356,scratch,0.5193772236490707,0.010259653031064074,1.007250792297726,0.02150136063608775,-0.21075128167887514,-0.4416756880739485
derma,pretrained,motion_blur,blur,0.33040935880911737,0.026752386375234288,1.0685386702359083,0.042691694902111076,scratch,0.484127194774384,0.01144141293704052,0.823234387395666,0.018258308006846767,-0.1537178359652666,-0.2453042828402423
derma,pretrained,pixelate,digital,0.45419827981357963,0.03834681229404874,1.0691264858442362,0.07511444386298743,scratch,0.5403469844571247,0.0158400755314746,0.9003768127502638,0.031027832383321276,-0.08614870464354507,-0.16874967309397237
derma,pretrained,shot_noise,noise,0.18645013432307592,0.02394405893294547,0.9694867594425947,0.028533528284082177,scratch,0.2399817072790044,0.029527552682794524,0.9056945404496932,0.035187236299146656,-0.053531572955928475,-0.06379221899290144
derma,pretrained,speckle_noise,noise,0.2541568780846475,0.019319028401392362,0.9700403060770089,0.025126243941851277,scratch,0.3149720582112109,0.018754438001243667,0.890944348481257,0.024391940133884342,-0.060815180126563395,-0.07909595759575183
derma,pretrained,zoom_blur,blur,0.37472068390899926,0.056545066516555345,1.1847642690087161,0.10714023744835666,scratch,0.5076124984068885,0.014968308836777487,0.9329640424393796,0.028361593004813935,-0.13289181449788923,-0.25180022656933654
pneumonia,pretrained,brightness_down,color,0.7326153846153847,0.035103064599496546,0.9611059907834102,0.12617691422860514,scratch,0.6135384615384616,0.022616134000543603,1.3891244239631335,0.08129301622315191,0.11907692307692308,0.4280184331797233
pneumonia,pretrained,brightness_up,color,0.8956410256410257,0.019765869694809066,0.7123687281213537,0.13492454809175358,scratch,0.795965811965812,0.030230649615909173,1.392765460910152,0.20635857672470076,0.0996752136752137,0.6803967327887984
pneumonia,pretrained,contrast_down,color,0.7886837606837607,0.028805105329913722,0.8899928005759538,0.12131739825773608,scratch,0.666974358974359,0.017376154560643273,1.4025917926565874,0.07318250840875665,0.1217094017094017,0.5125989920806336
pneumonia,pretrained,contrast_up,color,0.9094017094017094,0.016884398517212348,0.9506726457399107,0.1771726122433942,scratch,0.851025641025641,0.014698991136105661,1.5632286995515698,0.15424053479142322,0.058376068376068346,0.6125560538116591
pneumonia,pretrained,gamma_corr_down,color,0.7937094017094017,0.041999333835931144,1.2396507447354905,0.25238428653333056,scratch,0.7066495726495726,0.02199990702535158,1.7628145865434,0.13220283112306822,0.08705982905982912,0.5231638418079094
